date,brand,product,device,gender,query
2023-01-01,HYUNDAI,아반떼,pc,male,53.01967
2023-02-01,HYUNDAI,아반떼,pc,male,59.11157
2023-03-01,HYUNDAI,아반떼,pc,male,100
2023-04-01,HYUNDAI,아반떼,pc,male,63.32289
2023-05-01,HYUNDAI,아반떼,pc,male,57.53947
2023-06-01,HYUNDAI,아반떼,pc,male,56.07019
2023-07-01,HYUNDAI,아반떼,pc,male,61.10869
2023-08-01,HYUNDAI,아반떼,pc,male,59.89306
2023-09-01,HYUNDAI,아반떼,pc,male,51.37216
2023-10-01,HYUNDAI,아반떼,pc,male,52.16278
2023-11-01,HYUNDAI,아반떼,pc,male,51.68749
2023-12-01,HYUNDAI,아반떼,pc,male,49.74293
2024-01-01,HYUNDAI,아반떼,pc,male,52.72718
2024-02-01,HYUNDAI,아반떼,pc,male,45.56131
2024-03-01,HYUNDAI,아반떼,pc,male,49.503
2024-04-01,HYUNDAI,아반떼,pc,male,46.1737
2024-05-01,HYUNDAI,아반떼,pc,male,42.6616
2024-06-01,HYUNDAI,아반떼,pc,male,46.38164
2024-07-01,HYUNDAI,아반떼,pc,male,45.53846
2024-08-01,HYUNDAI,아반떼,pc,male,49.3659
2024-09-01,HYUNDAI,아반떼,pc,male,42.37826
2024-10-01,HYUNDAI,아반떼,pc,male,43.59161
2024-11-01,HYUNDAI,아반떼,pc,male,37.84932
2024-12-01,HYUNDAI,아반떼,pc,male,38.14866
2025-01-01,HYUNDAI,아반떼,pc,male,39.78703
2025-02-01,HYUNDAI,아반떼,pc,male,41.59221
2025-03-01,HYUNDAI,아반떼,pc,male,40.53652
2025-04-01,HYUNDAI,아반떼,pc,male,42.74387
2025-05-01,HYUNDAI,아반떼,pc,male,36.87589
2025-06-01,HYUNDAI,아반떼,pc,male,35.57114
2025-07-01,HYUNDAI,아반떼,pc,male,41.64019
2025-08-01,HYUNDAI,아반떼,pc,male,45.50419
2025-09-01,HYUNDAI,아반떼,pc,male,42.14976
2025-10-01,HYUNDAI,아반떼,pc,male,39.2569
2023-01-01,HYUNDAI,아반떼,mobile,male,58.8503
2023-02-01,HYUNDAI,아반떼,mobile,male,60.8371
2023-03-01,HYUNDAI,아반떼,mobile,male,100
2023-04-01,HYUNDAI,아반떼,mobile,male,71.62877
2023-05-01,HYUNDAI,아반떼,mobile,male,66.68015
2023-06-01,HYUNDAI,아반떼,mobile,male,62.20469
2023-07-01,HYUNDAI,아반떼,mobile,male,67.40129
2023-08-01,HYUNDAI,아반떼,mobile,male,65.26805
2023-09-01,HYUNDAI,아반떼,mobile,male,58.96546
2023-10-01,HYUNDAI,아반떼,mobile,male,55.9801
2023-11-01,HYUNDAI,아반떼,mobile,male,50.88835
2023-12-01,HYUNDAI,아반떼,mobile,male,52.29862
2024-01-01,HYUNDAI,아반떼,mobile,male,54.49367
2024-02-01,HYUNDAI,아반떼,mobile,male,53.92559
2024-03-01,HYUNDAI,아반떼,mobile,male,57.13907
2024-04-01,HYUNDAI,아반떼,mobile,male,51.11463
2024-05-01,HYUNDAI,아반떼,mobile,male,52.12275
2024-06-01,HYUNDAI,아반떼,mobile,male,53.99072
2024-07-01,HYUNDAI,아반떼,mobile,male,53.15994
2024-08-01,HYUNDAI,아반떼,mobile,male,58.28222
2024-09-01,HYUNDAI,아반떼,mobile,male,54.71075
2024-10-01,HYUNDAI,아반떼,mobile,male,50.95164
2024-11-01,HYUNDAI,아반떼,mobile,male,46.41583
2024-12-01,HYUNDAI,아반떼,mobile,male,46.69767
2025-01-01,HYUNDAI,아반떼,mobile,male,53.18532
2025-02-01,HYUNDAI,아반떼,mobile,male,49.34527
2025-03-01,HYUNDAI,아반떼,mobile,male,48.76431
2025-04-01,HYUNDAI,아반떼,mobile,male,48.99979
2025-05-01,HYUNDAI,아반떼,mobile,male,46.08764
2025-06-01,HYUNDAI,아반떼,mobile,male,43.97096
2025-07-01,HYUNDAI,아반떼,mobile,male,48.86108
2025-08-01,HYUNDAI,아반떼,mobile,male,53.9852
2025-09-01,HYUNDAI,아반떼,mobile,male,48.22015
2025-10-01,HYUNDAI,아반떼,mobile,male,49.95088
2023-01-01,HYUNDAI,아반떼,pc,female,61.78791
2023-02-01,HYUNDAI,아반떼,pc,female,68.3762
2023-03-01,HYUNDAI,아반떼,pc,female,100
2023-04-01,HYUNDAI,아반떼,pc,female,69.02319
2023-05-01,HYUNDAI,아반떼,pc,female,69.71753
2023-06-01,HYUNDAI,아반떼,pc,female,72.12403
2023-07-01,HYUNDAI,아반떼,pc,female,76.724
2023-08-01,HYUNDAI,아반떼,pc,female,78.83856
2023-09-01,HYUNDAI,아반떼,pc,female,64.45478
2023-10-01,HYUNDAI,아반떼,pc,female,63.8788
2023-11-01,HYUNDAI,아반떼,pc,female,67.23212
