순위,모델명,판매량,점유율,전월대비,전년대비
1,그랜저,9118,20.9,8640 478▲,0 9118▲
2,포터2,6578,15.1,9242 2664▼,5443 1135▲
3,아반떼,6018,13.8,8097 2079▼,5099 919▲
4,팰리세이드,3922,9.0,4344 422▼,0 3922▲
5,투싼,3636,8.4,3083 553▲,3619 17▲
6,캐스퍼,3070,7.1,3509 439▼,3948 878▼
7,스타리아,2951,6.8,3189 238▼,2810 141▲
8,싼타페,2124,4.9,3811 1687▼,2159 35▼
9,쏘나타,1543,3.5,3053 1510▼,1895 352▼
10,버스/트럭 (현대),1107,2.5,1219 112▼,1090 17▲
11,쏘나타 뉴 라이즈,996,2.3,1463 467▼,141 855▲
12,베뉴,646,1.5,1019 373▼,925 279▼
13,코나,620,1.4,0 620▲,0 620▲
14,넥쏘,307,0.7,446 139▼,319 12▼
15,마이티,284,0.7,769 485▼,681 397▼
16,코나,233,0.5,727 494▼,453 220▼
17,카운티,90,0.2,143 53▼,134 44▼
18,아반떼 N,82,0.2,138 56▼,338 256▼
19,아이오닉 5,76,0.2,711 635▼,376 300▼
20,쏠라티,68,0.2,58 10▲,40 28▲
21,아이오닉 6,23,0.1,1057 1034▼,0 23▲
22,포터2 일렉트릭,13,0.0,0 13▲,0 13▲
23,그랜저,13,0.0,277 264▼,1806 1793▼
24,카운티 일렉트릭,8,0.0,0 8▲,0 8▲
25,코나 N,1,0.0,1 0▼,26 25▼
