순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,6835,13.9,6890 55▼,5551 1284▲
2,카니발,6481,13.1,6873 392▼,5121 1360▲
3,스포티지,6282,12.7,6018 264▲,4556 1726▲
4,봉고 3,4349,8.8,4902 553▼,6528 2179▼
5,레이,4158,8.4,4155 3▲,0 4158▲
6,셀토스,4119,8.4,3891 228▲,0 4119▲
7,K8,4011,8.1,4569 558▼,4176 165▼
8,K5,2739,5.6,3421 682▼,2624 115▲
9,EV6,2694,5.5,3009 315▼,2976 282▼
10,모닝,2164,4.4,2127 37▲,2790 626▼
11,니로,1391,2.8,1482 91▼,3566 2175▼
12,봉고 3 EV,1137,2.3,2016 879▼,0 1137▲
13,니로 EV,729,1.5,737 8▼,0 729▲
14,K3,670,1.4,1197 527▼,2351 1681▼
15,모하비,483,1.0,710 227▼,1497 1014▼
16,니로 플러스,475,1.0,460 15▲,0 475▲
17,K9,422,0.9,432 10▼,664 242▼
18,버스 (기아),114,0.2,126 12▼,56 58▲
19,스팅어,61,0.1,143 82▼,235 174▼
