year_month,vehicle_type,registration_cnt
2023-01,승용,2765782
2023-01,승합,95828
2023-01,화물,321896
2023-01,특수,10845
2023-01,승용,1264858
2023-01,승합,38186
2023-01,화물,186659
2023-01,특수,12027
2023-01,승용,1042719
2023-01,승합,27716
2023-01,화물,156843
2023-01,특수,4714
2023-01,승용,1446230
2023-01,승합,41968
2023-01,화물,199059
2023-01,특수,8914
2023-01,승용,599671
2023-01,승합,17995
2023-01,화물,93940
2023-01,특수,3693
2023-01,승용,600433
2023-01,승합,18119
2023-01,화물,87332
2023-01,특수,3564
2023-01,승용,500243
2023-01,승합,13430
2023-01,화물,72607
2023-01,특수,3492
2023-01,승용,172426
2023-01,승합,4229
2023-01,화물,17062
2023-01,특수,817
2023-01,승용,5324836
2023-01,승합,190419
2023-01,화물,850112
2023-01,특수,28232
2023-01,승용,657068
2023-01,승합,26601
2023-01,화물,165424
2023-01,특수,4807
2023-01,승용,721373
2023-01,승합,27941
2023-01,화물,164487
2023-01,특수,5849
2023-01,승용,938153
2023-01,승합,39037
2023-01,화물,231402
2023-01,특수,7162
2023-01,승용,751926
2023-01,승합,30567
2023-01,화물,192408
2023-01,특수,5414
2023-01,승용,939321
2023-01,승합,37905
2023-01,화물,252668
2023-01,특수,8817
2023-01,승용,1147025
2023-01,승합,45306
2023-01,화물,325946
2023-01,특수,10054
2023-01,승용,1543446
2023-01,승합,49409
2023-01,화물,297725
2023-01,특수,10291
2023-01,승용,583870
2023-01,승합,17738
2023-01,화물,88031
2023-01,특수,1999
2023-02,승용,2764741
2023-02,승합,95410
2023-02,화물,320619
2023-02,특수,10911
2023-02,승용,1267513
2023-02,승합,38075
2023-02,화물,186919
2023-02,특수,12024
2023-02,승용,1043424
2023-02,승합,27653
2023-02,화물,157242
2023-02,특수,4734
2023-02,승용,1447984
2023-02,승합,41845
2023-02,화물,199372
2023-02,특수,8967
2023-02,승용,600243
2023-02,승합,17957
2023-02,화물,94177
2023-02,특수,3731
2023-02,승용,601269
2023-02,승합,18097
2023-02,화물,87449
2023-02,특수,3588
2023-02,승용,501415
2023-02,승합,13407
2023-02,화물,73072
2023-02,특수,3501
2023-02,승용,173138
2023-02,승합,4198
2023-02,화물,17099
2023-02,특수,819
2023-02,승용,5332573
