순위,모델명,판매량,점유율,전월대비,전년대비
1,아반떼,6103,13.0,5319 784▲,2230 3873▲
2,그랜저,5481,11.7,5711 230▼,3963 1518▲
3,싼타페,5076,10.8,4819 257▲,7413 2337▼
4,투싼,4735,10.1,3636 1099▲,3070 1665▲
5,쏘나타 디 엣지,4585,9.8,3620 965▲,1397 3188▲
6,디 올 뉴 팰리세이드,3727,7.9,1234 2493▲,0 3727▲
7,포터2,3637,7.7,3329 308▲,6093 2456▼
8,스타리아,3005,6.4,2484 521▲,2878 127▲
9,코나,1823,3.9,2098 275▼,1397 426▲
10,포터2 일렉트릭,1532,3.3,6 1526▲,262 1270▲
11,아이오닉 5,1356,2.9,48 1308▲,0 1356▲
12,버스/트럭 (현대),1282,2.7,954 328▲,1024 258▲
13,캐스퍼 일렉트릭,1061,2.3,186 875▲,0 1061▲
14,베뉴,697,1.5,694 3▲,323 374▲
15,마이티,527,1.1,531 4▼,529 2▼
16,코나 일렉트릭,411,0.9,43 368▲,58 353▲
17,아이오닉 6,346,0.7,12 334▲,98 248▲
18,넥쏘,248,0.5,24 224▲,331 83▼
19,캐스퍼,232,0.5,740 508▼,0 232▲
20,ST1,201,0.4,7 194▲,0 201▲
21,아반떼 N,193,0.4,144 49▲,62 131▲
22,아이오닉 9,181,0.4,0 181▲,0 181▲
23,카운티,164,0.3,149 15▲,116 48▲
24,쏠라티,146,0.3,113 33▲,87 59▲
25,팰리세이드,115,0.2,1287 1172▼,2365 2250▼
26,아이오닉 5 N,107,0.2,27 80▲,3 104▲
27,카운티 일렉트릭,22,0.0,15 7▲,7 15▲
