순위,모델명,판매량,점유율,전월대비,전년대비
1,쏘렌토,7865,16.5,8974 1109▼,0 7865▲
2,스포티지,7179,15.1,6736 443▲,6282 897▲
3,카니발,6879,14.4,7643 764▼,0 6879▲
4,셀토스,5025,10.5,4748 277▲,4119 906▲
5,봉고 3,3980,8.4,3510 470▲,4349 369▼
6,레이,3244,6.8,3172 72▲,4158 914▼
7,K5,3168,6.7,3577 409▼,0 3168▲
8,K8,1988,4.2,2016 28▼,4011 2023▼
9,니로,1597,3.4,917 680▲,1391 206▲
10,모닝,1421,3.0,1416 5▲,0 1421▲
11,K3,1336,2.8,1460 124▼,670 666▲
12,레이 EV,1216,2.6,1520 304▼,0 1216▲
13,EV6,1036,2.2,1275 239▼,2694 1658▼
14,봉고 3 EV,550,1.2,1180 630▼,1137 587▼
15,모하비,257,0.5,298 41▼,483 226▼
16,K9,253,0.5,140 113▲,422 169▼
17,니로 EV,218,0.5,134 84▲,729 511▼
18,EV9,174,0.4,183 9▼,0 174▲
19,니로 플러스,123,0.3,86 37▲,475 352▼
20,버스 (기아),122,0.3,127 5▼,114 8▲
