year_month,vehicle_type,registration_cnt
2023-01,승용,20999380
2023-01,승합,722394
2023-01,특수,130691
2023-01,화물,3703601
2023-02,승용,21031969
2023-02,승합,720921
2023-02,특수,131264
2023-02,화물,3712382
2023-03,승용,21076624
2023-03,승합,717675
2023-03,특수,131978
2023-03,화물,3720337
2023-04,승용,21114951
2023-04,승합,714056
2023-04,특수,132592
2023-04,화물,3718083
2023-05,승용,21147357
2023-05,승합,710874
2023-05,특수,133242
2023-05,화물,3717189
2023-06,승용,21196531
2023-06,승합,708484
2023-06,특수,134057
2023-06,화물,3718129
2023-07,승용,21231323
2023-07,승합,706347
2023-07,특수,134786
2023-07,화물,3722880
2023-08,승용,21247684
2023-08,승합,703467
2023-08,특수,135489
2023-08,화물,3721231
2023-09,승용,21287335
2023-09,승합,700957
2023-09,특수,136102
2023-09,화물,3721254
2023-10,승용,21312794
2023-10,승합,698328
2023-10,특수,136678
2023-10,화물,3722352
2023-11,승용,21358871
2023-11,승합,695898
2023-11,특수,137291
2023-11,화물,3725916
2023-12,승용,21390202
2023-12,승합,694574
2023-12,특수,138025
2023-12,화물,3726400
2024-01,승용,21429541
2024-01,승합,692913
2024-01,특수,138712
2024-01,화물,3731574
2024-02,승용,21454338
2024-02,승합,691431
2024-02,특수,139252
2024-02,화물,3734526
2024-03,승용,21492387
2024-03,승합,687930
2024-03,특수,139757
2024-03,화물,3734292
2024-04,승용,21519092
2024-04,승합,683895
2024-04,특수,140174
2024-04,화물,3727197
2024-05,승용,21550663
2024-05,승합,680694
2024-05,특수,140646
2024-05,화물,3724407
2024-06,승용,21589772
2024-06,승합,678774
2024-06,특수,141141
2024-06,화물,3724788
2024-07,승용,21620419
2024-07,승합,676348
2024-07,특수,141767
2024-07,화물,3724628
2024-08,승용,21633331
2024-08,승합,674007
2024-08,특수,142201
2024-08,화물,3722525
2024-09,승용,21666842
2024-09,승합,671974
2024-09,특수,142622
2024-09,화물,3721103
2024-10,승용,21700133
2024-10,승합,669712
2024-10,특수,143026
2024-10,화물,3719698
2024-11,승용,21744354
2024-11,승합,667977
2024-11,특수,143468
2024-11,화물,3717807
2024-12,승용,21771120
2024-12,승합,666166
2024-12,특수,143890
2024-12,화물,3716743
2025-01,승용,21799448
2025-01,승합,664509
2025-01,특수,144221
2025-01,화물,3717583
2025-02,승용,21814940
2025-02,승합,661699
2025-02,특수,144492
2025-02,화물,3716535
2025-03,승용,21837979
2025-03,승합,658008
2025-03,특수,144774
2025-03,화물,3711411
2025-04,승용,21855843
2025-04,승합,653134
2025-04,특수,144916
2025-04,화물,3703646
2025-05,승용,21882450
2025-05,승합,650353
2025-05,특수,145127
2025-05,화물,3701633
2025-06,승용,21913860
2025-06,승합,648127
2025-06,특수,145454
2025-06,화물,3700835
2025-07,승용,21933663
2025-07,승합,645507
2025-07,특수,145847
2025-07,화물,3700381
2025-08,승용,21946016
2025-08,승합,642956
2025-08,특수,146037
2025-08,화물,3699683
2025-09,승용,21970426
2025-09,승합,640215
2025-09,특수,146339
2025-09,화물,3699477
2025-10,승용,21978793
2025-10,승합,638095
2025-10,특수,146641
2025-10,화물,3698693
